players_ID,team_ID,name,position,field_position,Age,Nat,Height,foot,dt_joined,prev_team,contract_expires,market_value,player_page
50,2,Ramires,Central Midfield,MID,33,Brazil,1.79,right,2019-07-01,Without Club,2023-06-30,5.66,https://www.transfermarkt.com/ramires/profil/spieler/54170
51,2,Bruno Henrique,Central Midfield,MID,30,Brazil,1.8,right,2017-06-21,US Palermo,2023-12-31,4.13,https://www.transfermarkt.com/bruno-henrique/profil/spieler/277335
52,2,Agustin Allione,Right Midfield,MID,25,Argentina,1.7,right,2014-07-22,Club Atletico Velez Sarsfield,2020-07-20,0.94,https://www.transfermarkt.com/agustin-allione/profil/spieler/189411
53,2,Ze Rafael,Left Midfield,MID,27,Brazil,1.75,right,2019-01-01,Esporte Clube Bahia,2023-12-31,4.13,https://www.transfermarkt.com/ze-rafael/profil/spieler/225432
54,2,Gustavo Scarpa,Attacking Midfield,MID,26,Brazil,1.77,left,2018-06-27,Fluminense Football Club,2022-12-31,7.67,https://www.transfermarkt.com/gustavo-scarpa/profil/spieler/330085
55,2,Lucas Lima,Attacking Midfield,MID,30,Brazil,1.76,left,2018-01-01,Santos FC,2022-12-25,5.31,https://www.transfermarkt.com/lucas-lima/profil/spieler/232847
56,2,Raphael Veiga,Attacking Midfield,MID,25,Brazil,1.76,left,2016-12-19,Coritiba Foot Ball Club,2023-12-31,2.36,https://www.transfermarkt.com/raphael-veiga/profil/spieler/432953
57,2,Alejandro Guerra,Attacking Midfield,MID,35,Venezuela,1.72,right,2017-01-01,Atletico Nacional,2020-07-26,0.71,https://www.transfermarkt.com/alejandro-guerra/profil/spieler/72540
58,2,Alanzinho,Attacking Midfield,MID,20,Brazil,1.65,right,2020-01-01,SE Palmeiras B,2023-12-31,0.12,https://www.transfermarkt.com/alanzinho/profil/spieler/428786
59,2,Rony,Left Winger,ATT,25,Brazil,1.7,right,2020-02-21,Club Athletico Paranaense,2024-12-31,4.72,https://www.transfermarkt.com/rony/profil/spieler/371009
60,2,Wesley,Left Winger,ATT,21,Brazil,1.75,right,2020-01-01,SE Palmeiras B,2024-12-31,2.71,https://www.transfermarkt.com/wesley/profil/spieler/674732
61,2,Gabriel Veron,Right Winger,ATT,17,Brazil,1.76,right,2020-01-01,SE Palmeiras B,2024-12-31,26.55,https://www.transfermarkt.com/gabriel-veron/profil/spieler/627221
62,2,Dudu,Right Winger,ATT,28,Brazil,1.66,right,2015-01-11,Dynamo Kyiv,2023-12-31,14.16,https://www.transfermarkt.com/dudu/profil/spieler/114937
63,2,Ivan Angulo,Right Winger,ATT,21,Colombia,1.79,right,2020-01-01,Envigado FC,2024-12-31,1.06,https://www.transfermarkt.com/ivan-angulo/profil/spieler/498686
64,2,Deyverson,Centre-Forward,ATT,29,Brazil,1.87,left,2017-07-14,Levante UD,2022-06-30,4.72,https://www.transfermarkt.com/deyverson/profil/spieler/243541
65,2,Luiz Adriano,Centre-Forward,ATT,33,Brazil,1.84,right,2019-07-30,Spartak Moscow,2023-06-30,4.13,https://www.transfermarkt.com/luiz-adriano/profil/spieler/48974
66,2,Willian,Centre-Forward,ATT,33,Brazil,1.71,right,2017-01-11,Cruzeiro Esporte Clube,2021-12-31,2.01,https://www.transfermarkt.com/willian/profil/spieler/55338
67,2,Gabriel Silva,Centre-Forward,ATT,18,Brazil,1.77,both,,N.A.,2023-02-28,0.0,https://www.transfermarkt.com/gabriel-silva/profil/spieler/627224
68,3,Paulo Victor,Goalkeeper,GLK,33,Brazil,1.87,left,2017-07-13,Clube de Regatas do Flamengo,2022-12-31,1.42,https://www.transfermarkt.com/paulo-victor/profil/spieler/67886
69,3,Julio Cesar,Goalkeeper,GLK,33,Brazil,1.91,right,2019-01-03,Fluminense Football Club,2020-12-31,0.94,https://www.transfermarkt.com/julio-cesar/profil/spieler/52647
70,3,Vanderlei,Goalkeeper,GLK,36,Brazil,1.95,right,2020-01-18,Santos FC,2021-12-31,0.94,https://www.transfermarkt.com/vanderlei/profil/spieler/68727
71,3,Phelipe,Goalkeeper,GLK,21,Brazil,1.85,right,2019-01-01,Gremio Foot-Ball Porto Alegrense B,2022-12-31,0.12,https://www.transfermarkt.com/phelipe/profil/spieler/608218
72,3,Brenno,Goalkeeper,GLK,21,Brazil,1.9,right,2019-01-01,Gremio Foot-Ball Porto Alegrense B,2021-12-31,0.06,https://www.transfermarkt.com/brenno/profil/spieler/555016
73,3,Walter Kannemann,Centre-Back,DEF,29,Argentina,1.84,left,2016-07-15,Atlas Guadalajara,2022-12-31,5.66,https://www.transfermarkt.com/walter-kannemann/profil/spieler/145400
74,3,Pedro Geromel,Centre-Back,DEF,34,Brazil,1.9,right,2016-01-01,1. FC Koln,2021-12-31,3.3,https://www.transfermarkt.com/pedro-geromel/profil/spieler/32568
75,3,David Braz,Centre-Back,DEF,33,Brazil,1.88,right,2019-07-01,Santos FC,2021-12-31,0.94,https://www.transfermarkt.com/david-braz/profil/spieler/53226
76,3,Marcelo Oliveira,Centre-Back,DEF,33,Brazil,1.84,left,2015-01-01,Cruzeiro Esporte Clube,2020-12-31,0.86,https://www.transfermarkt.com/marcelo-oliveira/profil/spieler/52844
77,3,Paulo Miranda,Centre-Back,DEF,31,Brazil,1.84,right,2018-01-05,Red Bull Salzburg,2020-12-31,0.86,https://www.transfermarkt.com/paulo-miranda/profil/spieler/80499
78,3,Rodrigues,Centre-Back,DEF,22,Brazil,1.88,right,2019-08-09,ABC Futebol Clube (RN),2022-12-31,0.35,https://www.transfermarkt.com/rodrigues/profil/spieler/445101
79,3,Ruan,Centre-Back,DEF,21,Brazil,1.87,right,2020-01-01,Gremio Foot-Ball Porto Alegrense B,2022-12-31,0.12,https://www.transfermarkt.com/ruan/profil/spieler/555015
80,3,Bruno Cortez,Left-Back,DEF,33,Brazil,1.79,left,2017-01-30,Sao Paulo Futebol Clube,2021-12-31,1.65,https://www.transfermarkt.com/bruno-cortez/profil/spieler/182216
81,3,Guilherme Guedes,Left-Back,DEF,21,Brazil,1.8,left,2020-01-01,Gremio Foot-Ball Porto Alegrense B,2023-12-31,0.12,https://www.transfermarkt.com/guilherme-guedes/profil/spieler/552548
82,3,Leo Gomes,Right-Back,DEF,24,Brazil,1.78,right,2017-01-16,Boa Esporte Clube (MG),2021-12-31,2.83,https://www.transfermarkt.com/leo-gomes/profil/spieler/347016
83,3,Victor Ferraz,Right-Back,DEF,32,Brazil,1.74,right,2020-01-01,Santos FC,2021-12-31,1.42,https://www.transfermarkt.com/victor-ferraz/profil/spieler/153905
84,3,Luis Manuel Orejuela,Right-Back,DEF,24,Colombia,1.8,right,2020-01-17,Cruzeiro Esporte Clube,2020-12-31,1.42,https://www.transfermarkt.com/luis-manuel-orejuela/profil/spieler/331057
85,3,Lucas Silva,Defensive Midfield,MID,27,Brazil,1.81,right,2020-01-01,Without Club,2023-12-31,1.89,https://www.transfermarkt.com/lucas-silva/profil/spieler/218118
86,3,Lucas Araujo,Defensive Midfield,MID,21,Brazil,,right,2020-01-01,Gremio Foot-Ball Porto Alegrense B,,0.06,https://www.transfermarkt.com/lucas-araujo/profil/spieler/555018
87,3,Matheus Henrique,Central Midfield,MID,22,Brazil,1.75,right,2018-09-27,AD Sao Caetano (SP),2023-12-31,20.65,https://www.transfermarkt.com/matheus-henrique/profil/spieler/552549
88,3,Maicon,Central Midfield,MID,34,Brazil,1.84,right,2016-01-01,Sao Paulo Futebol Clube,2021-12-31,1.12,https://www.transfermarkt.com/maicon/profil/spieler/50047
89,3,Thaciano,Central Midfield,MID,25,Brazil,1.82,right,2019-06-28,Boa Esporte Clube (MG),2022-12-31,0.86,https://www.transfermarkt.com/thaciano/profil/spieler/392487
90,3,Darlan Mendes,Central Midfield,MID,22,Brazil,1.79,right,2019-01-01,Gremio Foot-Ball Porto Alegrense U20,2021-12-31,0.29,https://www.transfermarkt.com/darlan-mendes/profil/spieler/570582
91,3,Jean Pyerre,Attacking Midfield,MID,22,Brazil,1.83,right,2018-07-23,Gremio Foot-Ball Porto Alegrense B,2023-12-31,10.62,https://www.transfermarkt.com/jean-pyerre/profil/spieler/351903
92,3,Thiago Neves,Attacking Midfield,MID,35,Brazil,1.76,left,2020-01-27,Cruzeiro Esporte Clube,2020-12-31,2.36,https://www.transfermarkt.com/thiago-neves/profil/spieler/53262
93,3,Patrick,Attacking Midfield,MID,21,Brazil,1.75,left,2019-05-26,Gremio Foot-Ball Porto Alegrense B,2021-03-31,1.53,https://www.transfermarkt.com/patrick/profil/spieler/529646
94,3,Isaque,Attacking Midfield,MID,23,Brazil,1.78,right,2020-01-01,Gremio Foot-Ball Porto Alegrense B,2022-12-31,0.71,https://www.transfermarkt.com/isaque/profil/spieler/627099
95,3,Everton,Left Winger,ATT,24,Brazil,1.74,right,2014-01-01,Gremio Foot-Ball Porto Alegrense U20,2023-12-31,33.04,https://www.transfermarkt.com/everton/profil/spieler/321239
96,3,Pepe,Left Winger,ATT,23,Brazil,1.75,right,2018-01-01,Gremio Foot-Ball Porto Alegrense B,2022-12-31,8.02,https://www.transfermarkt.com/pepe/profil/spieler/520662
97,3,Ferreira,Left Winger,ATT,22,Brazil,,right,2020-01-01,Gremio Foot-Ball Porto Alegrense B,2021-06-30,0.94,https://www.transfermarkt.com/ferreira/profil/spieler/689017
98,3,Alisson,Right Winger,ATT,27,Brazil,1.74,right,2018-01-02,Cruzeiro Esporte Clube,2023-12-31,3.78,https://www.transfermarkt.com/alisson/profil/spieler/229736
99,3,Guilherme Azevedo,Right Winger,ATT,19,Brazil,,left,,N.A.,2024-12-31,0.06,https://www.transfermarkt.com/guilherme-azevedo/profil/spieler/675242
100,3,Luciano,Centre-Forward,ATT,27,Brazil,1.8,both,2019-07-29,CD Leganes,2022-12-31,2.36,https://www.transfermarkt.com/luciano/profil/spieler/223560
101,3,Andre,Centre-Forward,ATT,29,Brazil,1.84,right,2019-02-22,Sport Club do Recife,2021-12-31,1.89,https://www.transfermarkt.com/andre/profil/spieler/104509
102,3,Diego Souza,Centre-Forward,ATT,35,Brazil,1.86,right,2020-01-28,Sao Paulo Futebol Clube,2020-12-31,1.42,https://www.transfermarkt.com/diego-souza/profil/spieler/33315
103,4,Cassio,Goalkeeper,GLK,33,Brazil,1.95,right,2012-01-01,Without Club,2022-12-31,2.83,https://www.transfermarkt.com/cassio/profil/spieler/50144
104,4,Walter,Goalkeeper,GLK,32,Brazil,1.88,right,2013-05-01,Uniao Agricola Barbarense FC (SP),2021-12-31,0.56,https://www.transfermarkt.com/walter/profil/spieler/269860
105,4,Matheus Donelli,Goalkeeper,GLK,18,Brazil,1.89,-,,N.A.,2021-12-31,0.53,https://www.transfermarkt.com/matheus-donelli/profil/spieler/708723
106,4,Guilherme Vicentini,Goalkeeper,GLK,20,Brazil,1.89,right,2020-02-01,Sport Club Corinthians Paulista U20,2021-12-31,0.0,https://www.transfermarkt.com/guilherme-vicentini/profil/spieler/748527
107,4,Leo Santos,Centre-Back,DEF,21,Brazil,1.86,right,2017-01-01,Sport Club Corinthians Paulista B,2023-12-31,6.37,https://www.transfermarkt.com/leo-santos/profil/spieler/351894
108,4,Gil,Centre-Back,DEF,33,Brazil,1.92,right,2019-07-03,Shandong Luneng Taishan,2022-12-31,4.72,https://www.transfermarkt.com/giltm/profil/spieler/101469
109,4,Danilo Avelar,Centre-Back,DEF,31,Brazil,1.85,left,2019-07-01,Torino FC,2022-12-31,2.36,https://www.transfermarkt.com/danilo-avelar/profil/spieler/140748
110,4,Bruno Mendez,Centre-Back,DEF,20,Uruguay,1.84,right,2019-02-28,Montevideo Wanderers,2023-12-31,2.12,https://www.transfermarkt.com/bruno-mendez/profil/spieler/552912
111,4,Yago,Centre-Back,DEF,27,Brazil,1.85,right,2013-05-01,Sport Club Corinthians Paulista B,2021-06-30,0.56,https://www.transfermarkt.com/yago/profil/spieler/184156
112,4,Sidcley,Left-Back,DEF,27,Brazil,1.76,left,2020-01-08,Dynamo Kyiv,2020-12-31,3.78,https://www.transfermarkt.com/sidcley/profil/spieler/330060
113,4,Lucas Piton,Left-Back,DEF,19,Brazil,1.75,left,2019-07-01,Sport Club Corinthians Paulista U20,2022-12-31,1.06,https://www.transfermarkt.com/lucas-piton/profil/spieler/670201
114,4,Carlos Augusto,Left-Back,DEF,21,Brazil,1.84,left,,N.A.,2021-12-31,0.94,https://www.transfermarkt.com/carlos-augusto/profil/spieler/585982
115,4,Fagner,Right-Back,DEF,31,Brazil,1.68,right,2015-01-09,VfL Wolfsburg,2022-12-31,4.72,https://www.transfermarkt.com/fagner/profil/spieler/47592
116,4,Michel,Right-Back,DEF,30,Brazil,1.77,right,2019-01-01,Without Club,2021-12-31,1.3,https://www.transfermarkt.com/michel/profil/spieler/77262
117,4,Gabriel,Defensive Midfield,MID,28,Brazil,1.72,right,2017-01-13,Atletico Monte Azul (SP),2022-12-31,3.78,https://www.transfermarkt.com/gabriel/profil/spieler/213606
118,4,Ederson,Defensive Midfield,MID,21,Brazil,1.83,right,2020-02-21,Cruzeiro Esporte Clube,2025-01-31,2.71,https://www.transfermarkt.com/ederson/profil/spieler/607854
119,4,Victor Cantillo,Defensive Midfield,MID,26,Colombia,1.8,right,2020-01-09,Junior FC,2024-12-31,2.36,https://www.transfermarkt.com/victor-cantillo/profil/spieler/263032
120,4,Xavier,Defensive Midfield,MID,20,Brazil,1.83,right,,N.A.,2023-01-31,0.0,https://www.transfermarkt.com/xavier/profil/spieler/596426
121,4,Guilherme Camacho,Central Midfield,MID,30,Brazil,1.8,right,2016-05-25,Gremio Osasco Audax (SP),2022-12-31,0.86,https://www.transfermarkt.com/guilherme-camacho/profil/spieler/97507
122,4,Roni,Central Midfield,MID,21,Brazil,1.74,right,,N.A.,2022-12-31,0.0,https://www.transfermarkt.com/roni/profil/spieler/725049
123,4,Ramiro,Right Midfield,MID,27,Brazil,1.69,right,2019-01-01,Gremio Foot-Ball Porto Alegrense,2022-12-31,3.3,https://www.transfermarkt.com/ramiro/profil/spieler/258070
124,4,Angelo Araos,Attacking Midfield,MID,23,Chile,1.74,right,2019-07-01,Club Universidad de Chile,2023-07-31,3.78,https://www.transfermarkt.com/angelo-araos/profil/spieler/403148
125,4,Mateus Vital,Attacking Midfield,MID,22,Brazil,1.75,right,2018-01-16,Club de Regatas Vasco da Gama,2023-12-31,3.78,https://www.transfermarkt.com/mateus-vital/profil/spieler/408958
126,4,Everaldo,Left Winger,ATT,26,Brazil,1.72,right,2019-05-22,Associacao Esportiva Velo Clube Rioclare,2023-06-30,1.06,https://www.transfermarkt.com/everaldo/profil/spieler/388397
127,4,Leo Natel,Left Winger,ATT,23,Brazil,1.79,right,2020-07-16,Sao Paulo Futebol Clube,2024-12-31,0.77,https://www.transfermarkt.com/leo-natel/profil/spieler/351750
128,4,Janderson,Right Winger,ATT,21,Brazil,1.61,right,2019-07-01,Sport Club Corinthians Paulista U20,2023-12-31,3.19,https://www.transfermarkt.com/janderson/profil/spieler/670940
129,4,Davo,Right Winger,ATT,20,Brazil,1.78,right,2020-01-13,Guarani Futebol Clube (SP),2023-12-31,0.8,https://www.transfermarkt.com/davo/profil/spieler/670522
130,4,Gabriel Pereira,Right Winger,ATT,18,Brazil,1.75,left,,N.A.,2022-03-31,0.8,https://www.transfermarkt.com/gabriel-pereira/profil/spieler/736954
131,4,Luan,Second Striker,ATT,27,Brazil,1.8,right,2020-01-01,Gremio Foot-Ball Porto Alegrense,2023-12-31,7.67,https://www.transfermarkt.com/luan/profil/spieler/313106
132,4,Jo,Centre-Forward,ATT,33,Brazil,1.92,left,2020-07-01,Nagoya Grampus,2023-12-31,2.95,https://www.transfermarkt.com/jotm/profil/spieler/34156
133,4,Mauro Boselli,Centre-Forward,ATT,35,Argentina,1.85,right,2019-01-03,Club Leon FC,2020-12-30,1.42,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822
134,4,Matheus Matias,Centre-Forward,ATT,22,Brazil,1.87,right,2018-02-21,ABC Futebol Clube (RN),2022-12-31,0.24,https://www.transfermarkt.com/matheus-matias/profil/spieler/541048
135,4,Carlinhos,Centre-Forward,ATT,23,Brazil,1.95,right,,N.A.,2020-12-31,0.06,https://www.transfermarkt.com/carlinhos/profil/spieler/363173
136,5,Tiago Volpi,Goalkeeper,GLK,29,Brazil,1.88,right,2020-01-01,Queretaro FC,2023-12-31,2.83,https://www.transfermarkt.com/tiago-volpi/profil/spieler/227671
137,5,Lucas Perri,Goalkeeper,GLK,22,Brazil,1.97,right,2017-01-01,FC Sao Paulo B,2023-01-31,0.29,https://www.transfermarkt.com/lucas-perri/profil/spieler/352041
138,5,Thiago Couto,Goalkeeper,GLK,21,Brazil,1.88,-,2020-01-08,FC Sao Paulo B,2022-06-30,0.06,https://www.transfermarkt.com/thiago-couto/profil/spieler/546217
139,5,Junior,Goalkeeper,GLK,21,Brazil,,-,,N.A.,2022-06-30,0.06,https://www.transfermarkt.com/junior/profil/spieler/650517
140,5,Walce,Centre-Back,DEF,21,Brazil,1.88,right,2019-02-19,FC Sao Paulo B,2021-10-13,2.12,https://www.transfermarkt.com/walce/profil/spieler/574903
141,5,Robert Arboleda,Centre-Back,DEF,28,Ecuador,1.87,right,2017-07-05,CD Universidad Catolica,2022-06-25,2.01,https://www.transfermarkt.com/robert-arboleda/profil/spieler/139867
142,5,Bruno Alves,Centre-Back,DEF,29,Brazil,1.85,right,2017-08-22,Figueirense Futebol Clube,2023-06-30,1.89,https://www.transfermarkt.com/bruno-alves/profil/spieler/177534
143,5,Anderson Martins,Centre-Back,DEF,32,Brazil,1.84,right,2018-01-10,Club de Regatas Vasco da Gama,2020-12-31,0.86,https://www.transfermarkt.com/anderson-martins/profil/spieler/68832
144,5,Rodrigo,Centre-Back,DEF,22,Brazil,1.88,right,,N.A.,2021-12-31,0.35,https://www.transfermarkt.com/rodrigo/profil/spieler/631785
145,5,Diego,Centre-Back,DEF,21,Brazil,1.84,-,2020-01-07,FC Sao Paulo B,2022-12-31,0.0,https://www.transfermarkt.com/diego/profil/spieler/546212
146,5,Reinaldo,Left-Back,DEF,30,Brazil,1.78,left,2014-01-01,Clube Atletico Penapolense (SP),2020-12-31,3.3,https://www.transfermarkt.com/reinaldo/profil/spieler/225617
147,5,Leo,Left-Back,DEF,24,Brazil,1.83,left,2019-01-01,Fluminense Football Club,2022-12-30,1.18,https://www.transfermarkt.com/leotm/profil/spieler/403296
