team_ID,league_ID,club,squad,foreigners,avg_market_value_m,total_MV_m,Logo_img,link_page
56,3,Atlas Guadalajara,25,10,1.52,38.0,https://tmssl.akamaized.net/images/wappen/header/8590.png,https://www.transfermarkt.com/atlas-guadalajara/kader/verein/8590/saison_id/2019/plus/1
57,3,Atletico de San Luis,22,12,1.47,32.37,https://tmssl.akamaized.net/images/wappen/header/40188.png,https://www.transfermarkt.com/atletico-san-luis/kader/verein/40188/saison_id/2019/plus/1
58,3,FC Juarez,30,11,1.04,31.25,https://tmssl.akamaized.net/images/wappen/header/49283.png,https://www.transfermarkt.com/fc-juarez/kader/verein/49283/saison_id/2019/plus/1
59,3,UNAM Pumas,26,6,1.19,30.95,https://tmssl.akamaized.net/images/wappen/header/7633.png,https://www.transfermarkt.com/unam-pumas/kader/verein/7633/saison_id/2019/plus/1
60,3,Deportivo Toluca,32,13,0.94,30.21,https://tmssl.akamaized.net/images/wappen/header/1804.png,https://www.transfermarkt.com/deportivo-toluca/kader/verein/1804/saison_id/2019/plus/1
61,3,Club Necaxa,25,11,1.02,25.41,https://tmssl.akamaized.net/images/wappen/header/1146.png,https://www.transfermarkt.com/club-necaxa/kader/verein/1146/saison_id/2019/plus/1
62,3,Puebla FC,30,12,0.79,23.69,https://tmssl.akamaized.net/images/wappen/header/5662.png,https://www.transfermarkt.com/puebla-fc/kader/verein/5662/saison_id/2019/plus/1
63,3,Queretaro FC,29,11,0.56,16.32,https://tmssl.akamaized.net/images/wappen/header/4961.png,https://www.transfermarkt.com/queretaro-fc/kader/verein/4961/saison_id/2019/plus/1
64,3,Club Atletico Morelia,17,2,0.28,4.78,https://tmssl.akamaized.net/images/wappen/header/5623.png,https://www.transfermarkt.com/monarcas-morelia/kader/verein/5623/saison_id/2019/plus/1
65,4,Club Atletico River Plate,32,7,4.26,136.47,https://tmssl.akamaized.net/images/wappen/header/209.png,https://www.transfermarkt.com/club-atletico-river-plate/kader/verein/209/saison_id/2019/plus/1
66,4,Club Atletico Boca Juniors,31,6,3.48,107.73,https://tmssl.akamaized.net/images/wappen/header/189.png,https://www.transfermarkt.com/club-atletico-boca-juniors/kader/verein/189/saison_id/2019/plus/1
67,4,Club Atletico San Lorenzo de Almagro,32,4,2.37,75.99,https://tmssl.akamaized.net/images/wappen/header/1775.png,https://www.transfermarkt.com/club-atletico-san-lorenzo-de-almagro/kader/verein/1775/saison_id/2019/plus/1
68,4,Racing Club,37,5,2.03,74.93,https://tmssl.akamaized.net/images/wappen/header/1444.png,https://www.transfermarkt.com/racing-club-de-avellaneda/kader/verein/1444/saison_id/2019/plus/1
69,4,Club Atletico Velez Sarsfield,29,5,2.5,72.39,https://tmssl.akamaized.net/images/wappen/header/1029.png,https://www.transfermarkt.com/club-atletico-velez-sarsfield/kader/verein/1029/saison_id/2019/plus/1
